BrakeTestLog04.txt
Time,LeftWheel,RightWheel,OutputShaft,Brake1,Brake2
120.169998,451.192261,447.040253,1388.160522,3.120750,0.647812
120.289001,428.349915,433.297180,1355.779053,2.483250,0.687000
120.406998,401.566101,411.801392,1300.897705,3.347438,0.770437
120.505997,401.777466,403.480408,1294.786987,2.949563,0.775125
120.625000,399.884033,391.071838,1232.361816,2.783250,0.696375
120.723999,380.686249,380.049683,1212.782715,3.030188,0.792375
120.843002,361.702271,371.111206,1186.184814,3.258188,0.690562
120.960999,365.658813,360.988647,1128.781494,2.610563,0.716812
121.059998,357.074615,356.219238,1080.289429,2.421000,0.786750
121.179001,323.529846,338.069122,1102.529053,3.032063,0.727875
121.278000,337.658752,334.679321,1037.828857,2.924438,0.811125
121.397003,319.092255,323.451874,1021.595398,2.277188,0.633563
121.514999,323.949097,314.266754,992.539368,1.497938,0.579375
121.613998,311.787262,310.007355,946.347351,0.721500,0.476813
121.733002,287.684113,295.253510,976.451294,0.841875,0.490125
121.850998,288.100983,288.337311,844.808594,0.803062,0.480938
121.949997,276.871796,283.601440,887.814636,0.777938,0.488063
122.069000,281.301483,279.160767,1031.879272,0.712875,0.483562
122.186996,276.103516,289.649811,882.777039,0.749250,0.483562
122.286003,301.758362,297.622162,1018.099487,0.828000,0.485813
122.403999,302.774323,308.931824,971.780579,0.841125,0.479813
122.523003,315.969238,316.409637,981.969910,0.690000,0.483938
122.640999,318.852142,322.887390,936.300415,0.758812,0.483187
122.739998,323.429382,322.079346,1003.467468,0.764625,0.486750
122.858002,325.803467,326.874298,1006.148743,0.778875,0.486000
122.961998,331.430908,320.421417,1082.498291,0.707250,0.478687
123.080002,345.189423,321.502563,1059.665039,0.700125,0.488438
123.196999,346.013550,322.151978,1037.846924,0.799875,0.484313
123.315002,348.364685,314.356659,1079.609131,0.642563,0.484125
123.432999,344.700378,315.191925,1126.062744,0.859875,0.490125
123.551003,361.491089,314.963593,1126.619385,0.694313,0.479813
123.668999,365.260132,311.191040,1115.124268,0.787875,0.485625
123.787003,345.424347,308.312744,1175.095825,0.756375,0.483938
123.904999,372.320221,303.501190,1132.745239,0.737813,0.481875
124.023003,361.363708,307.256470,1072.590576,0.838313,0.487312
124.140999,347.436951,308.742493,1090.915771,0.769688,0.478875
124.259003,361.001709,301.907318,1124.501099,0.703500,0.488250
124.376999,349.453644,300.796661,1076.342529,0.858000,0.483000
124.495003,352.394958,292.407471,1125.830322,0.732938,0.483750
124.612999,340.919373,297.504364,1051.518555,0.874313,0.487312
124.732002,356.701447,295.143280,1113.489380,0.791438,0.482063
124.849998,354.176636,294.775696,1070.122803,0.673500,0.486188
124.968002,344.036285,293.772034,1126.753540,0.889500,0.485063
125.085999,357.765106,292.028351,1069.277222,0.764063,0.483750
125.204002,351.609406,294.266510,1071.422119,0.672188,0.483000
125.321999,339.525726,298.376556,1101.294678,0.809062,0.483187
125.440002,353.117950,295.584686,1086.956543,0.724688,0.482437
125.539001,350.885834,295.431885,1074.857788,0.683250,0.483562
125.656998,338.642120,299.115082,1093.081909,0.763687,0.487312
125.775002,355.165375,299.433014,1116.604492,0.790500,0.478875
125.892998,357.287018,296.414429,1085.959717,0.701250,0.486562
126.011002,345.513275,298.301331,1098.022949,0.885750,0.481313
126.128998,363.418335,298.594818,1126.492554,0.679500,0.485250
126.247002,362.347046,300.822449,1122.103516,0.815250,0.486000
126.364998,344.279694,308.825928,1091.769287,0.836062,0.479062
126.483002,363.673401,307.222504,1108.197021,0.672562,0.486562
126.601997,360.126770,311.177979,1145.934814,0.853688,0.481875
126.720001,359.239288,315.016693,1093.686401,0.670500,0.480000
126.837997,352.955933,319.242004,1141.885620,0.840750,0.482063
126.956001,370.157867,326.898346,1132.780762,0.684188,0.484688
127.073997,372.949921,328.243378,1136.794189,0.816563,0.478500
127.192001,354.949127,340.453339,1103.238647,0.755625,0.479625
127.291000,372.016876,350.262695,1172.462769,0.669750,0.481313
127.408997,369.865570,353.883972,1154.327026,0.808875,0.481125
127.527000,380.431366,365.603973,1177.270752,0.793312,0.478125
127.644997,360.877319,378.045410,1213.485962,0.729000,0.478312
